RazonSocial,DenominacionFondo,TipoFondo,FechaInscripcion,ResolucionInscripcion,Moneda,FechaInformacion,PatrimonioInscrito,ValorCuota,NumeroParticipes,NumeroCuotas
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Fondo De Fondos Credicorp Capital Renta Global Investment Grade Fmiv,FONDO MUTUO,2022-09-07,Resolución IG Entidades 103-2022-SMV/10.02,Dolares,2026-02-28,260219463.32,122.409006,1196.0,633551.767676
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Fondo De Fondos Credicorp Capital Impacto Sostenible Fmiv,FONDO MUTUO,2021-09-13,Resolución IG Entidades 088-SMV/10.2,Dolares,2026-02-28,4894665.56,101.32305,88.0,14396.949011
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Fondo De Inversion Credicorp Capital Vivienda 1,FONDO INVERSION,2023-05-03,Expediente (CDN) 2023020673,Soles,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Factoring Dolares Fmiv,FONDO MUTUO,2023-05-09,Expediente (CDN) 2023021673,Dolares,2026-02-28,134187944.36,44.972527,2.0,889245.966992
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Renta En Dolares 3y Vi Fmiv,FONDO MUTUO,2023-10-24,Resolución IG Entidades 118-2023-SMV/10.2,Dolares,2026-02-28,31710783.06,110.248376,121.0,85721.639098
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Cupón Escalonado Lxxxii Fmiv,FONDO MUTUO,2024-08-20,Expediente (CDN) 2024035890,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Renta En Dólares 3y Vii Fmiv,FONDO MUTUO,2024-04-19,Resolución IG Entidades 038-2024-SMV/10.2,Dolares,2026-02-28,21286442.85,107.796049,93.0,58851.284882
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Fondo De Inversion Credicorp Capital Deuda Soles Ii,FONDO INVERSION,2024-05-15,Expediente (CDN) 2024022253,Soles,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Barrera Condicional Pen I Fmiv,FONDO MUTUO,2024-10-15,Resolución IG Entidades 140-2024-SMV/10.2,Soles,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Cupón Memoria Dólares Ii Fmiv,FONDO MUTUO,2024-10-28,Expediente (CDN) 2024044070,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Renta En Dólares 2y Ii Fmiv,FONDO MUTUO,2024-08-28,Resolución IG Entidades 113-2024-SMV/10.2,Dolares,2026-02-28,20478456.16,104.80308,112.0,58234.300914
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 12m Dólar Seguro I Fmiv,FONDO MUTUO,2024-10-15,Resolución IG Entidades 141-2024-SMV/10.2,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Fondo De Fondos Credicorp Capital Duración Objetivo Latam Fmiv,FONDO MUTUO,2024-03-21,Resolución IG Entidades 027-2024-SMV/10.2,Dolares,2026-02-28,1221733248.7,109.513578,3071.0,3324789.274208
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Renta En Dolares 3y Viii Fmiv,FONDO MUTUO,2024-11-11,Resolución IG Entidades 152-2024-SMV/10.2,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 3m Tesoro Americano 4 Fmiv,FONDO MUTUO,2025-07-18,Expediente (CDN) 2025032061,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Fondo De Inversion Credicorp Capital De Desarrollo Y Rentas Inmobiliarias,FONDO INVERSION,2024-11-20,Expediente (CDN) 2024048173,Soles,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 6m Tesoro Americano 3 Fmiv,FONDO MUTUO,2025-09-26,Expediente (CDN) 2025042334,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 3m Tesoros Usa 1 Fmiv,FONDO MUTUO,2025-01-24,Expediente (CDN) 2025003133,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 3m Tesoro Americano 5 Fmiv,FONDO MUTUO,2025-07-18,Expediente (CDN) 2025032062,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Fondo De Inversión Credicorp Capital Deuda Titulizada,FONDO INVERSION,2025-09-03,Expediente (CDN) 2025038898,Soles,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 6m Tesoro Americano 1 Fmiv,FONDO MUTUO,2025-07-10,Expediente (CDN) 2025030297,Dolares,2026-02-28,8177764.77,101.456589,73.0,24022.049468
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 6m Tesoro Americano 2 Fmiv,FONDO MUTUO,2025-07-10,Expediente (CDN) 2025030299,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Inversion Global I Fmiv,FONDO MUTUO,2025-10-10,Resolución IG Entidades 170-2025-SMV/10.2,Dolares,2026-02-28,35940140.19,101.032842,155.0,106016.362058
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 6m Dólar Seguro 4 Fmiv,FONDO MUTUO,2024-12-30,Expediente (CDN) 2024052904,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital Cupon Memoria Soles I Fmiv,FONDO MUTUO,2025-01-10,Resolución IG Entidades 006-2025-SMV/10.2,Soles,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 6m Dólar Seguro 3 Fmiv,FONDO MUTUO,2024-12-10,Expediente (CDN) 2024050494,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 3m Tesoro Americano 2 Fmiv,FONDO MUTUO,2025-07-10,Expediente (CDN) 2025030291,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 3m Tesoro Americano 3 Fmiv,FONDO MUTUO,2025-07-10,Expediente (CDN) 2025030293,Dolares,2026-02-28,,,,
